ecmf prod rf 1997052500 20150525 11 046
0912 pf 10  1.607  0.446  1.668 5
0936 em 00  0.977 -0.104  0.982 4
0936 cf 00  0.300 -1.368  1.400 3
0936 pf 01  2.044 -0.391  2.081 4
0936 pf 02  1.357 -1.140  1.772 4
0936 pf 03 -0.426  0.162  0.456 8
0936 pf 04  1.809 -0.238  1.824 4
0936 pf 05  0.831  1.156  1.424 6
0936 pf 06 -0.001  0.966  0.966 7
0936 pf 07  0.911  0.610  1.096 5
0936 pf 08  0.628 -0.354  0.721 4
0936 pf 09  1.821 -0.863  2.015 4
0936 pf 10  1.489  0.472  1.562 5
0960 em 00  0.977 -0.035  0.977 4
0960 cf 00  0.373 -1.232  1.287 3
0960 pf 01  2.058 -0.432  2.103 4
0960 pf 02  1.474 -1.020  1.793 4
0960 pf 03 -0.222  0.166  0.277 8
0960 pf 04  1.840  0.084  1.842 5
0960 pf 05  0.353  1.425  1.468 6
0960 pf 06  0.170  0.782  0.800 6
0960 pf 07  0.804  0.157  0.819 5
0960 pf 08  0.722 -0.081  0.727 4
0960 pf 09  1.684 -0.620  1.794 4
0960 pf 10  1.529  0.539  1.622 5
0984 em 00  0.990  0.146  1.001 5
0984 cf 00  0.641 -0.860  1.073 3
0984 pf 01  1.808 -0.739  1.954 4
0984 pf 02  2.027 -0.995  2.258 4
0984 pf 03 -0.224  0.313  0.385 7
0984 pf 04  1.586  0.802  1.777 5
0984 pf 05  0.184  1.798  1.808 6
0984 pf 06  0.521  0.683  0.860 6
0984 pf 07  0.430  0.581  0.722 6
0984 pf 08  0.967 -0.015  0.967 4
0984 pf 09  1.739 -0.381  1.780 4
0984 pf 10  1.273  0.536  1.381 5
1008 em 00  0.902  0.305  0.952 5
1008 cf 00  0.783 -0.704  1.053 4
1008 pf 01  1.918 -0.775  2.069 4
1008 pf 02  2.076 -0.873  2.253 4
1008 pf 03 -0.306  0.282  0.416 8
1008 pf 04  1.159  1.031  1.551 5
1008 pf 05 -0.129  2.169  2.173 7
1008 pf 06  0.918  0.642  1.120 5
1008 pf 07  0.186  0.647  0.673 6
1008 pf 08  0.733  0.073  0.736 5
1008 pf 09  1.561  0.256  1.582 5
1008 pf 10  1.125  0.713  1.331 5
1032 em 00  0.957  0.472  1.067 5
1032 cf 00  0.910 -0.612  1.097 4
1032 pf 01  2.058 -0.457  2.108 4
1032 pf 02  2.291 -0.724  2.403 4
1032 pf 03 -0.181  0.418  0.456 7
1032 pf 04  1.187  0.883  1.480 5
1032 pf 05 -0.428  2.242  2.282 7
1032 pf 06  1.162  0.867  1.450 5
1032 pf 07  0.342  0.786  0.857 6
1032 pf 08  0.697  0.195  0.723 5
1032 pf 09  1.475  0.933  1.745 5
1032 pf 10  1.117  0.765  1.354 5
