ecmf prod rf 2000021800 20160218 11 046
0912 pf 06  0.016 -0.716  0.716 3
0912 pf 07 -0.140  0.517  0.535 7
0912 pf 08 -0.429  1.196  1.271 7
0912 pf 09 -1.471  1.844  2.359 7
0912 pf 10 -0.420  0.800  0.903 7
0936 em 00 -0.377  0.981  1.051 7
0936 cf 00  0.428  0.506  0.663 6
0936 pf 01 -0.522  1.768  1.843 7
0936 pf 02 -0.210  0.860  0.885 7
0936 pf 03 -0.827  1.742  1.928 7
0936 pf 04 -0.535  1.264  1.373 7
0936 pf 05  0.064  0.315  0.322 6
0936 pf 06  0.280 -0.582  0.646 3
0936 pf 07 -0.132  0.577  0.591 7
0936 pf 08 -0.495  1.086  1.194 7
0936 pf 09 -1.802  1.921  2.634 7
0936 pf 10 -0.420  1.161  1.234 7
0960 em 00 -0.445  1.050  1.140 7
0960 cf 00  0.174  0.432  0.465 6
0960 pf 01 -0.833  1.539  1.750 7
0960 pf 02  0.008  1.104  1.104 6
0960 pf 03 -1.191  1.499  1.915 7
0960 pf 04 -0.314  1.261  1.299 7
0960 pf 05  0.014  0.664  0.664 6
0960 pf 06  0.641 -0.327  0.720 4
0960 pf 07 -0.248  0.707  0.749 7
0960 pf 08 -0.639  1.131  1.299 7
0960 pf 09 -1.940  2.013  2.796 7
0960 pf 10 -0.569  1.370  1.483 7
0984 em 00 -0.373  0.971  1.040 7
0984 cf 00  0.105  0.300  0.318 6
0984 pf 01 -0.909  1.238  1.535 7
0984 pf 02  0.128  1.115  1.122 6
0984 pf 03 -0.971  1.349  1.662 7
0984 pf 04 -0.578  1.151  1.288 7
0984 pf 05  0.200  0.891  0.913 6
0984 pf 06  0.928 -0.406  1.012 4
0984 pf 07 -0.128  0.729  0.740 7
0984 pf 08 -0.767  0.784  1.097 7
0984 pf 09 -1.840  2.014  2.728 7
0984 pf 10 -0.259  1.354  1.378 7
1008 em 00 -0.367  0.909  0.980 7
1008 cf 00  0.341  0.613  0.702 6
1008 pf 01 -0.969  0.999  1.392 7
