Date_day0,RMM1(0),RMM2(0),RMM1(forecast),RMM2(forecast),RMM1(obs),RMM2(obs)
2006-02-24,-0.0715857446193695,-1.7478551864624023,1.484,0.040999999999999995,1.3992226123809814,-0.29923996329307556
2006-02-27,1.2442045211791992,-1.0701779127120972,0.703,0.095,0.8261005282402039,0.1494458168745041
2006-03-02,1.434195876121521,-0.4221913814544678,0.23600000000000002,-0.177,0.2719559967517853,-0.009358820505440235
2006-03-05,0.5098866820335388,0.32205039262771606,0.364,0.305,0.40465638041496277,-0.0721854493021965
2006-03-09,0.10145139694213867,0.05309034883975983,0.342,-0.17300000000000001,0.382546067237854,0.05781068652868271
2006-03-12,0.5484707355499268,-0.1509891152381897,0.513,-0.051,0.605278491973877,-0.1138375997543335
2006-03-16,0.49280986189842224,-0.10808446258306503,0.29100000000000004,-0.04,0.37108731269836426,-0.35525816679000854
2006-03-19,0.5119815468788147,-0.2192777544260025,0.562,0.215,0.4747888743877411,0.03417288511991501
2006-03-23,0.36493101716041565,-0.054773200303316116,1.185,0.363,1.152207851409912,0.3300569951534271
2006-03-26,0.9612116813659668,0.29858577251434326,1.1320000000000001,0.48700000000000004,1.1784751415252686,0.5069559812545776
2006-03-30,1.2755697965621948,0.3309033215045929,0.787,0.6559999999999999,0.9851676225662231,0.953135073184967
2006-04-02,1.169369101524353,0.8898784518241882,0.389,0.627,0.2589286267757416,0.7993488907814026
2006-04-06,0.3304094076156616,0.77888023853302,-0.157,0.053,-0.3852464258670807,0.16475175321102142
2006-04-09,-0.4234350323677063,0.6957735419273376,-0.22899999999999998,-0.711,-0.364635705947876,-0.8892596364021301
2006-04-13,-0.43094611167907715,-0.5428178906440735,0.142,-0.91,0.6416599154472351,-0.8449063301086426
2006-04-16,0.3734110891819,-1.1210787296295166,0.41,-0.040999999999999995,0.6839571595191956,0.08293990790843964
2006-04-20,0.8254749774932861,-0.14871829748153687,-0.028999999999999998,0.508,0.16673149168491364,0.22770041227340698
2006-04-23,0.20685867965221405,0.4042629301548004,0.308,0.858,0.6655232906341553,0.9425915479660034
2006-04-27,0.31236520409584045,0.6985238790512085,0.113,1.102,0.11743690818548203,1.099960446357727
2006-04-30,0.468291312456131,1.1282862424850464,-0.41100000000000003,0.7859999999999999,-0.34710365533828735,1.0946320295333862
2006-05-04,-0.2625997066497803,0.9784246683120728,-0.988,0.846,-1.0352429151535034,0.82275390625
2006-05-07,-0.829693078994751,0.9106910824775696,-1.607,0.287,-1.3302892446517944,0.8289281129837036
2006-05-11,-1.196808934211731,0.6278064250946045,-1.4069999999999998,-0.392,-1.5860596895217896,0.03522703796625137
2006-05-14,-1.2037094831466675,0.6236817836761475,-1.2919999999999998,-0.635,-1.5136057138442993,-0.3927071690559387
2006-05-18,-1.8295272588729858,-0.2126156985759735,-0.209,-0.998,-0.45427051186561584,-0.7952461242675781
2006-05-21,-0.9980292916297913,-0.7114834189414978,0.29100000000000004,-0.654,0.019818015396595,-0.47902625799179077
2006-05-25,0.0636633038520813,-0.6800175309181213,0.087,0.336,-0.8315407633781433,0.10497944056987762
2006-05-28,-0.07147186994552612,0.1372520476579666,-0.457,0.084,-1.1751853227615356,0.2652760148048401
2006-06-01,-1.2236976623535156,0.22535796463489532,-1.17,-0.46799999999999997,-1.6616618633270264,-0.7996068000793457
2006-06-04,-1.6864038705825806,-0.6013105511665344,-0.612,-0.618,-1.0596420764923096,-0.9380137324333191
2006-06-08,-1.2068983316421509,-0.7841806411743164,-0.897,-0.113,-0.9259365797042847,-0.441536009311676
2006-06-11,-1.1495195627212524,-0.47520795464515686,-0.632,-0.08900000000000001,-0.047881513833999634,-0.30406054854393005
2006-06-15,-0.3347604274749756,-0.4140222370624542,-0.36200000000000004,-0.28600000000000003,-0.1301354318857193,-0.5799209475517273
2006-06-18,-0.04273606464266777,-0.47051915526390076,0.24,-0.5,0.04339024797081947,-0.7832305431365967
2006-06-22,0.09925665706396103,-0.5544396638870239,1.032,-0.488,1.0915477275848389,0.040539927780628204
